1 Status: trusted OGRN=1145074015448,INN=005036145714,C=ru,ST=50\, \d0\9c\d0\be\d1\81\d0\ba\d0\be\d0\b2\d1\81\d0\ba\d0\b0\d1\8f \d0\be\d0\b1\d0\bb\d0\b0\d1\81\d1\82\d1\8c,L=\d0\b3. \d0\9f\d0\be\d0\b4\d0\be\d0\bb\d1\8c\d1\81\d0\ba,STREET=\d1\83\d0\bb. \d0\9c\d0\b0\d1\88\d0\b8\d0\bd\d0\be\d1\81\d1\82\d1\80\d0\be\d0\b8\d1\82\d0\b5\d0\bb\d0\b5\d0\b9\, \d0\b4. 7\d0\90,O=\d0\93\d0\9a\d0\a3 \d0\9c\d0\9e \d0\a6\d0\b5\d0\bd\d1\82\d1\80 112,CN=\d0\a3\d0\a6 \d0\93\d0\9a\d0\a3 \d0\9c\d0\9e \d0\a6\d0\b5\d0\bd\d1\82\d1\80 112
2 Status: trusted C=RU,L=Moscow,O=MITS,OU=Certification Authority,CN=Certificating Center
3 Status: local   C=RU,CN=pov-3-csp1
4 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zaraiskiy-mr-2cs
5 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-2cs
6 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-posadskiy-mr-2cs
7 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=chehovskiy-mr-2cs
8 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mitishinski-mr-2cs
9 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-8cs
10 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-16cs
11 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dubna-go-3cs
12 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushino-go-2cs
13 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-8cs
14 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-6cs
15 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=zvinigorod-go-3cs
16 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-2cs
17 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pov-2-csp1
18 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ivanteevka-go-3cs
19 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-2cs
20 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lobna-go-3cs
21 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-5cs
22 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-5cs
23 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-posadskiy-mr-11cs
24 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-3cs
25 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-prudskiy-mr-3cs
26 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=pav-posad-mr-3cs
27 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=luhovitskiy-mr-3cs
28 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-3cs
29 Status: remote  C=RU,CN=pov-4-csp2
30 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mos-oblast-msk-3cs
31 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voshod-zato-2cs
32 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-7cs
33 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=volokolamsk-mr-3cs
34 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=pushino-go-3cs
35 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-6cs
36 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-7cs
37 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramensky-mr-2cs
38 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=leninskiy-mr-3cs
39 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-2cs
40 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-8cs
41 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=j-dorozjniy-go-3cs
42 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-3cs
43 Status: remote  C=RU,O=MO112,CN=reutov_go_1cs
44 Status: remote  C=RU,O=MO112,CN=n_fominsk_mr_9cs
45 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zvinigorod-go-2cs
46 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=egorevsk-mr-3cs
47 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-5cs
48 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kashirskiy-mr-20cs
49 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mozhaiskiy-mr-8cs
50 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=bronnici-go-2cs
51 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-3cs
52 Status: remote  C=RU,O=MO112,CN=s_posadskiy_mr_16cs
53 Status: remote  C=RU,O=MO112,CN=bronnici_go_1cs
54 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomna-go-5cs
55 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=klinskiy-mr-3cs
56 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=luhovitskiy-mr-2cs
57 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=bronnici-go-3cs
58 Status: remote  C=RU,O=MO112,CN=istrinskiy_mr_1cs
59 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=reutov-go-3cs
60 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-13cs
61 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-1cs
62 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dubna-go-4cs
63 Status: remote  C=RU,L=Moscow,O=MITS,OU=S_Terra KP,CN=stupinskiy-mr-10cs
64 Status: remote  C=RU,O=MO112,CN=schelkovski_mr_22cs
65 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-6cs
66 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kolomna-go-6cs
67 Status: remote  C=RU,O=MO112,CN=mitishinski_mr_10cs
68 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ozerskiy-mr-3cs
69 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=schelkovski-mr-2cs
70 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-2cs
71 Status: remote  C=RU,O=MO112,CN=pushkinskiy_mr_12cs
72 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-5cs
73 Status: remote  C=RU,CN=kashirskiy_mr_4cs
74 Status: remote  C=RU,O=MO112,CN=ruzskiy_mr_1cs
75 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-go-2cs
76 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-mr-5cs
77 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-5cs
78 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-3cs
79 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-mr-3cs
80 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mos-oblast-msk-1cs
81 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pav-posad-mr-2cs
82 Status: remote  C=RU,O=MO112,CN=pushino_go_1cs
83 Status: remote  C=RU,O=MO112,CN=kotelniki_go_1cs
84 Status: remote  C=RU,ST=Moscow region,L=Krasnogorsk,O=MITS,OU=S-Terra,CN=krasnogorsk-mr-14cs
85 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=leninskiy-mr-8cs
86 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-7cs
87 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-20cs
88 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-5cs
89 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-9cs
90 Status: remote  C=RU,O=MO112,CN=electrostal_go_1cs
91 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lotoshinski-mr-3cs
92 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=taldomskiy-mr-4cs
93 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=stupinskiy-mr-2cs
94 Status: remote  C=RU,CN=pushkinskiy_mr_8cs
95 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-13cs
96 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ivanteevka-go-2cs
97 Status: remote  C=RU,CN=schelkovski_mr_23cs
98 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=litkarino-go-3cs
99 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-9cs
100 Status: remote  C=RU,CN=s_prudskiy_mr_5cs
101 Status: remote  C=RU,O=MO112,CN=pav_posad_mr_4cs
102 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_8cs
103 Status: remote  C=RU,O=MO112,CN=voskresensk_mr_9cs
104 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-4cs
105 Status: remote  C=RU,CN=volokolamsk_mr_1cs
106 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-5cs
107 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-3cs
108 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=moscow-6cs
109 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-3cs
110 Status: remote  C=RU,O=MO112,CN=dubna_go_1cs
111 Status: remote  C=RU,CN=kashirskiy_mr_9cs
112 Status: remote  C=RU,CN=luhovitskiy_mr_1cs
113 Status: remote  C=RU,O=MO112,CN=k_znam_zato_go_3cs
114 Status: remote  C=RU,CN=s_prudskiy_mr_1cs
115 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dmitrov-mr-3cs
116 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-5cs
117 Status: remote  C=RU,O=MO112,CN=shaturskiy_mr_5cs
118 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zv-gor-zato-go-3cs
119 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-13cs
120 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorvsk-mr-8cs
121 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=korolev-go-6cs
122 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-1cs
123 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mozhaiskiy-mr-2cs
124 Status: remote  C=RU,O=MO112,CN=chehovskiy_mr_6cs
125 Status: remote  C=RU,O=MO112,CN=pushkinskiy_mr_15cs
126 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-5cs
127 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushino-go-5cs
128 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-5cs
129 Status: remote  C=RU,O=MO112,CN=krasnogorsk_mr_15cs
130 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-2cs
131 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=Che-golovlka-go-4cs
132 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-4cs
133 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-2cs
134 Status: remote  C=RU,O=MO112,CN=mozhaiskiy_mr_6cs
135 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-8cs
136 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra,CN=protvino-go-2cs
137 Status: remote  C=RU,O=MO112,CN=egorevsk_mr_6cs
138 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-5cs
139 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=shcelkovski-mr-9cs
140 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=electrostal-go-3cs
141 Status: remote  C=RU,O=MO112,CN=balashiha_go_7cs
142 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mos-oblast-msk-8cs
143 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_1cs
144 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-20cs
145 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-cuks-1cs
146 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-4cs
147 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-4cs
148 Status: remote  C=RU,CN=stupinskiy_mr_6cs
149 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=losino-petr-go-2cs
150 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ruzskiy-mr-2cs
151 Status: remote  C=RU,O=MO112,CN=luhovitskiy_mr_4cs
152 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=che-golovka-go-2cs
153 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-5cs
154 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-3cs
155 Status: remote  C=RU,O=MO112,CN=voskresensk_mr_13cs
156 Status: remote  C=RU,O=MO112,CN=dzerjinsk_go_1cs
157 Status: remote  C=RU,O=MO112,CN=ramenskiy_mr_9cs
158 Status: remote  C=RU,O=MO112,CN=voshod_zato_1cs
159 Status: remote  C=RU,O=MO112,CN=dubna_go_5cs
160 Status: remote  C=RU,O=MO112,CN=ozerskiy_mr_6cs
161 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-6cs
162 Status: remote  C=RU,CN=schelkovski_mr_1cs
163 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-12cs
164 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=shaturskiy-mr-3cs
165 Status: remote  C=RU,CN=noginskiy_mr_11cs
166 Status: remote  C=RU,O=MO112,CN=podolsk_go_8cs
167 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=taldomskiy-mr-3cs
168 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=protvino-go-3cs
169 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=fryazino-go-3cs
170 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-3cs
171 Status: remote  C=RU,O=MO112,CN=ramenskiy_mr_15cs
172 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-4cs
173 Status: remote  C=RU,O=MO112,CN=losino_petr_go_1cs
174 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=luhovitskiy-mr-6cs
175 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kotelniki-go-3cs
176 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zv-gor-zato-go-1cs
177 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-prudskiy-mr-2cs
178 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=egorevsk-mr-4cs
179 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-8cs
180 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-3cs
181 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-1cs
182 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-5cs
183 Status: remote  C=RU,O=MO112,CN=noginskiy_mr_7cs
184 Status: remote  C=RU,CN=pushkinskiy_mr_13cs
185 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=electro-gk-go-3cs
186 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomna-go-4cs
187 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-11cs
188 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=domodedovo-go-1cs
189 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-8cs
190 Status: remote  C=RU,O=MO112,CN=electro_gk_go_1cs
191 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=stupinskiy-mr-13cs
192 Status: remote  C=RU,O=MO112,CN=serpuhov_go_4cs
193 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=korolev-go-1cs
194 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-6cs
195 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-10cs
196 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kotelniki-go-2cs
197 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=volokolamsk-mr-2cs
198 Status: remote  C=RU,CN=kashirskiy_mr_8cs
199 Status: remote  C=RU,CN=taldomskiy_mr_9cs
200 Status: remote  C=RU,O=MO112,CN=domodedovo_go_6cs
201 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=k-znam-zato-go-2cs
202 Status: remote  C=RU,O=MO112,CN=roshal_go_1cs
203 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-6cs
204 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-4cs
205 Status: remote  C=RU,CN=noginskiy_mr_12cs
206 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-6cs
207 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=litkarino-go-2cs
208 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-3cs
209 Status: remote  C=RU,CN=kashirskiy_mr_1cs
